subyekt;nomer regiona;y1;y2;y3;y4;y5;y;god;x1
Nenetsskiy avtonomnyy okrug;22;32.53;0,00;2.325;45107,00;34.55;23036.53;2018,00;46478,00
Bologodskaya oblast ;23;34.33;3.375;45108,00;35.225;25.375;17024.1;2018,00;46478,00
Kaliningradskaya oblast ;24;33.55;42125,00;12785,00;37.25;45129,00;14896.15;2018,00;46478,00
Leningradskaya oblast ;25;33.48;2.675;1.575;32.15;30.125;16470,00;2018,00;46478,00
Murmanskaya oblast ;26;45010,00;20121,00;2.275;38.825;45077,00;25573.35;2018,00;46478,00
Novgorodskaya oblast ;27;34.18;2.525;45047,00;33.925;28.325;13571.75;2018,00;46478,00
Pskovskaya oblast ;28;35.03;27395,00;34700,00;36.025;25.25;13116.85;2018,00;46478,00
g. Sankt-Peterburg ;29;45073,00;31138,00;1.725;32.25;33.675;23922,00;2018,00;46478,00
Respublika Adygeya ;30;33.35;23743,00;0.85;39.1;45071,00;14544.45;2018,00;46478,00
Respublika Kalmykiya ;31;36.13;45047,00;1.125;40.55;21.125;10877,00;2018,00;46478,00
Respublika Krym ;36;42.73;3.475;1.275;45016,00;21.225;12613.95;2018,00;46478,00
Krasnodarskiy kray ;32;35.58;44929,00;45108,00;33.4;44983,00;15457.58;2018,00;46478,00
Astrakhanskaya oblast ;33;34.18;2.625;31048,00;38.7;22.675;16185.95;2018,00;46478,00
Bolgogradskaya oblast ;34;33.58;45047,00;1.575;38.15;44982,00;14393.98;2018,00;46478,00
Rostovskaya oblast ;35;32.23;5.525;45689,00;45076,00;29.95;16107.53;2018,00;46478,00
g. Sevastopol ;37;43.45;0.9;1.775;45016,00;22.55;16482.2;2018,00;46478,00
Respublika Dagestan ;38;53.88;0.325;0.525;45077,00;14.175;12649.2;2018,00;46478,00
Respublika Ingushetiya ;39;59.28;44927,00;0,00;25.175;14.45;8690.1;2018,00;46478,00
Kabardino-Balkarskaya Respublika ;40;43.13;0.575;0.35;36.225;19.725;11728.35;2018,00;46478,00
Karachaevo-Cherkesskaya Respublika ;41;30.78;2.175;0.2;39.45;27.425;11437.43;2018,00;46478,00
Respublika Severnaya Osetiya-Alaniya ;42;36.6;1.975;0.55;38.1;22.775;12329.15;2018,00;46478,00
Chechenskaya Respublika ;43;33.1;1.275;0,00;45.075;20.575;10677.75;2018,00;46478,00
Stavropolskiy kray ;44;27.93;44988,00;1.375;32.75;34.65;12767.75;2018,00;46478,00
Respublika Bashkortostan ;45;31.85;3.075;1.825;36.75;26.525;16336.25;2018,00;46478,00
Respublika Mariy El ;46;33.5;44988,00;1.575;35.375;26.275;10812.2;2018,00;46478,00
Respublika Mordoviya ;47;41.15;1.425;16438,00;33.875;22.15;10955.7;2018,00;46478,00
Respublika Tatarstan ;48;45068,00;42095,00;1.475;47.775;24.55;18998.6;2018,00;46478,00
Udmurtskaya Respublika ;49;45013,00;34759,00;42036,00;37.9;45134,00;15711.23;2018,00;46478,00
Chuvashskaya Respublika ;50;34.65;2.825;23743,00;33.7;27.15;10703.75;2018,00;46478,00
Permskiy kray ;51;28.58;2.875;1.925;38.875;27.725;15525.98;2018,00;46478,00
Kirovskaya oblast ;52;45016,00;3.525;45689,00;36.525;45042,00;14616.68;2018,00;46478,00
Nizhegorodskaya oblast ;53;27.73;3.775;1.225;39.175;28.075;17793.5;2018,00;46478,00
Orenburgskaya oblast ;54;32,00;3.825;44958,00;38.1;24.925;13216.7;2018,00;46478,00
Penzenskaya oblast ;55;35.6;3,00;1.875;33.725;25.825;12181.95;2018,00;46478,00
Samarskaya oblast ;56;29.53;16469,00;1.675;37.75;28.575;16356.85;2018,00;46478,00
Saratovskaya oblast ;57;39,00;1.775;1.325;45169,00;44952,00;11866.78;2018,00;46478,00
Ulyanovskaya oblast ;58;35.75;42005,00;45047,00;45106,00;32.45;12756.25;2018,00;46478,00
Kurganskaya oblast ;59;33.03;45078,00;1.675;40.75;22.925;11880.75;2018,00;46478,00
Sverdlovskaya oblast ;60;29.78;44990,00;1.625;34.45;28.875;17253.83;2018,00;46478,00
Tyumenskaya oblast ;61;45198,00;45018,00;23743,00;38.825;27.225;19261.33;2018,00;46478,00
Khanty-Mansiyskiy avt. okrug ;62;44980,00;45080,00;1.575;44,00;27.625;23565.63;2018,00;46478,00
Yamalo-Nenetskiy avt. okrug ;63;34.73;0.675;3.225;29.45;31.925;21459.55;2018,00;46478,00
Chelyabinskaya oblast ;64;45075,00;45049,00;31048,00;34.925;30.225;15108.85;2018,00;46478,00
Respublika Altay ;65;29.98;1.075;44958,00;42.65;25.125;11396.83;2018,00;46478,00
Respublika Buryatiya ;66;32.93;3.625;1.025;37.9;24.525;12439.33;2018,00;46478,00
Respublika Tyva ;67;35.43;1.725;1.375;39.15;22.35;9555.13;2018,00;46478,00
Respublika Khakasiya ;68;31.9;45078,00;31048,00;40.625;45070,00;13830.7;2018,00;46478,00
Altayskiy kray ;69;32.5;44958,00;1.525;39.925;24.85;12698.75;2018,00;46478,00
Zabaykalskiy kray ;70;33.2;1.975;1.675;38.425;45131,00;14566.83;2018,00;46478,00
Krasnoyarskiy kray ;71;29.48;45079,00;45139,00;37.175;28.975;18228.58;2018,00;46478,00
Irkutskaya oblast ;72;33,00;1.375;45658,00;38.675;25.675;13288.65;2018,00;46478,00
Kemerovskaya oblast ;73;32.3;1.225;1.575;40,00;45193,00;13414.18;2018,00;46478,00
Novosibirskaya oblast ;74;35.75;2.175;2.775;40.55;45156,00;13996.15;2018,00;46478,00
Omskaya oblast ;75;45137,00;45048,00;1.375;36.375;45075,00;14365.63;2018,00;46478,00
Tomskaya oblast ;76;29.85;3.175;45017,00;36.675;28.925;15580.88;2018,00;46478,00
Respublika Sakha(Yakutiya) ;77;31.63;3.175;45658,00;33.85;30.125;22729.45;2018,00;46478,00
Kamchatskiy kray ;78;27.28;44959,00;27395,00;38.45;30.325;28382.88;2018,00;46478,00
Primorskiy kray ;79;27.55;3.575;45139,00;39.95;27.15;21644.33;2018,00;46478,00
Khabarovskiy kray ;80;26.85;3.325;23743,00;34.875;33.3;21615.93;2018,00;46478,00
Amurskaya oblast ;81;27.25;0.95;1.525;41.775;28.55;16137.55;2018,00;46478,00
Magadanskaya oblast ;82;36.5;45048,00;0.95;30.125;30.375;25472.03;2018,00;46478,00
Sakhalinskaya oblast ;83;27.45;0.9;1.475;45.7;24.475;28502.13;2018,00;46478,00
Evreyskaya avt. oblast ;84;29.93;45047,00;45109,00;43.35;22.525;14882.3;2018,00;46478,00
Chukotskiy avt. okrug ;85;47.45;0.6;2.075;45163,00;45070,00;23432.88;2018,00;46478,00
Belgorodskaya oblast;1;31.65;45018,00;45078,00;41,00;45039,00;17978.35;2019,00;45049,00
Bryanskaya oblast;2;38.48;45108,00;45170,00;33.3;45101,00;13772.39;2019,00;45049,00
Vladimirskaya oblast;3;36.02;44986,00;44927,00;35.3;45011,00;15862.78;2019,00;45049,00
Voronezhskaya oblast;4;35.11;0.9;44986,00;33.7;29,00;14671.82;2019,00;45049,00
Ivanovskaya oblast;5;34.22;45108,00;45140,00;35.6;45132,00;17221.03;2019,00;45049,00
Kaluzhskaya oblast;6;32.73;45140,00;45017,00;38.1;25,00;18075.9;2019,00;45049,00
Kostromskaya oblast;7;34.58;44928,00;45018,00;36,00;25,00;15181.18;2019,00;45049,00
Kurskaya oblast;8;34.6;2,00;45108,00;39.8;45190,00;15472.33;2019,00;45049,00
Lipetskaya oblast;9;33.49;44928,00;44986,00;38.3;45162,00;16107.59;2019,00;45049,00
